id,level,job_band_id,job_family_id,question_id
competency358,A,3,internalaudit,Question22
competency359,A,3,internalaudit,Question23
competency360,F,3,internalaudit,Question24
competency361,A,4,internalaudit,Question1
competency362,F,4,internalaudit,Question2
competency363,F,4,internalaudit,Question3
competency364,F,4,internalaudit,Question4
competency365,F,4,internalaudit,Question5
competency366,F,4,internalaudit,Question6
competency367,A,4,internalaudit,Question7
competency368,A,4,internalaudit,Question8
competency369,F,4,internalaudit,Question9
competency370,I,4,internalaudit,Question10
competency371,A,4,internalaudit,Question11
competency372,E,4,internalaudit,Question12
competency373,I,4,internalaudit,Question13
competency374,F,4,internalaudit,Question14
competency375,x,4,internalaudit,Question15
competency376,E,4,internalaudit,Question16
competency377,E,4,internalaudit,Question17
competency378,E,4,internalaudit,Question18
competency379,E,4,internalaudit,Question19
competency380,E,4,internalaudit,Question20
competency381,E,4,internalaudit,Question21
competency382,E,4,internalaudit,Question22
competency383,A,4,internalaudit,Question23
competency384,F,4,internalaudit,Question24
competency385,x,1,sustainability,Question1
competency386,F,1,sustainability,Question2
competency387,F,1,sustainability,Question3
competency388,F,1,sustainability,Question4
competency389,F,1,sustainability,Question5
competency390,F,1,sustainability,Question6
competency391,F,1,sustainability,Question7
competency392,F,1,sustainability,Question8
competency393,F,1,sustainability,Question9
competency394,F,1,sustainability,Question10
competency395,F,1,sustainability,Question11
competency396,F,1,sustainability,Question12
competency397,F,1,sustainability,Question13
competency398,x,1,sustainability,Question14
competency399,x,1,sustainability,Question15
competency598,F,1,fpa,Question22
competency400,F,1,sustainability,Question16
competency401,F,1,sustainability,Question17
competency402,F,1,sustainability,Question18
competency403,F,1,sustainability,Question19
competency404,F,1,sustainability,Question20
competency405,F,1,sustainability,Question21
competency406,F,1,sustainability,Question22
competency407,F,1,sustainability,Question23
competency408,F,1,sustainability,Question24
competency409,x,2,sustainability,Question1
competency410,F,2,sustainability,Question2
competency411,F,2,sustainability,Question3
competency412,F,2,sustainability,Question4
competency413,F,2,sustainability,Question5
competency414,I,2,sustainability,Question6
competency415,I,2,sustainability,Question7
competency416,I,2,sustainability,Question8
competency417,I,2,sustainability,Question9
competency418,I,2,sustainability,Question10
competency419,I,2,sustainability,Question11
competency420,I,2,sustainability,Question12
competency421,F,2,sustainability,Question13
competency422,x,2,sustainability,Question14
competency423,x,2,sustainability,Question15
competency424,I,2,sustainability,Question16
competency425,I,2,sustainability,Question17
competency426,I,2,sustainability,Question18
competency427,I,2,sustainability,Question19
competency428,I,2,sustainability,Question20
competency429,I,2,sustainability,Question21
competency430,I,2,sustainability,Question22
competency431,I,2,sustainability,Question23
competency432,F,2,sustainability,Question24
competency433,x,3,sustainability,Question1
competency434,F,3,sustainability,Question2
competency435,F,3,sustainability,Question3
competency436,F,3,sustainability,Question4
competency437,F,3,sustainability,Question5
competency438,A,3,sustainability,Question6
competency439,A,3,sustainability,Question7
competency440,A,3,sustainability,Question8
competency441,A,3,sustainability,Question9
competency442,I,3,sustainability,Question10
competency443,A,3,sustainability,Question11
competency444,A,3,sustainability,Question12
competency445,F,3,sustainability,Question13
competency446,x,3,sustainability,Question14
competency447,x,3,sustainability,Question15
competency448,A,3,sustainability,Question16
competency449,A,3,sustainability,Question17
competency450,A,3,sustainability,Question18
competency451,A,3,sustainability,Question19
competency452,A,3,sustainability,Question20
competency453,A,3,sustainability,Question21
competency454,A,3,sustainability,Question22
competency455,A,3,sustainability,Question23
competency456,F,3,sustainability,Question24
competency457,x,4,sustainability,Question1
competency458,F,4,sustainability,Question2
competency459,F,4,sustainability,Question3
competency460,F,4,sustainability,Question4
competency461,F,4,sustainability,Question5
competency462,A,4,sustainability,Question6
competency463,A,4,sustainability,Question7
competency464,E,4,sustainability,Question8
competency465,E,4,sustainability,Question9
competency466,I,4,sustainability,Question10
competency467,E,4,sustainability,Question11
competency468,A,4,sustainability,Question12
competency469,F,4,sustainability,Question13
competency470,x,4,sustainability,Question14
competency471,x,4,sustainability,Question15
competency472,E,4,sustainability,Question16
competency473,E,4,sustainability,Question17
competency474,E,4,sustainability,Question18
competency475,E,4,sustainability,Question19
competency476,E,4,sustainability,Question20
competency477,A,4,sustainability,Question21
competency478,A,4,sustainability,Question22
competency479,A,4,sustainability,Question23
competency480,F,4,sustainability,Question24
competency481,F,1,businesspartner,Question1
competency482,x,1,businesspartner,Question2
competency483,F,1,businesspartner,Question3
competency484,F,1,businesspartner,Question4
competency485,F,1,businesspartner,Question5
competency486,F,1,businesspartner,Question6
competency487,F,1,businesspartner,Question7
competency488,F,1,businesspartner,Question8
competency489,F,1,businesspartner,Question9
competency490,F,1,businesspartner,Question10
competency491,F,1,businesspartner,Question11
competency492,F,1,businesspartner,Question12
competency493,F,1,businesspartner,Question13
competency494,F,1,businesspartner,Question14
competency495,F,1,businesspartner,Question15
competency496,F,1,businesspartner,Question16
competency497,F,1,businesspartner,Question17
competency498,F,1,businesspartner,Question18
competency499,F,1,businesspartner,Question19
competency500,F,1,businesspartner,Question20
competency501,F,1,businesspartner,Question21
competency502,F,1,businesspartner,Question22
competency503,F,1,businesspartner,Question23
competency504,F,1,businesspartner,Question24
competency505,I,2,businesspartner,Question1
competency506,x,2,businesspartner,Question2
competency507,I,2,businesspartner,Question3
competency508,I,2,businesspartner,Question4
competency509,I,2,businesspartner,Question5
competency510,I,2,businesspartner,Question6
competency511,I,2,businesspartner,Question7
competency512,I,2,businesspartner,Question8
competency513,F,2,businesspartner,Question9
competency514,F,2,businesspartner,Question10
competency515,I,2,businesspartner,Question11
competency516,I,2,businesspartner,Question12
competency517,F,2,businesspartner,Question13
competency518,F,2,businesspartner,Question14
competency519,F,2,businesspartner,Question15
competency520,I,2,businesspartner,Question16
competency521,I,2,businesspartner,Question17
competency522,I,2,businesspartner,Question18
competency523,I,2,businesspartner,Question19
competency524,I,2,businesspartner,Question20
competency525,I,2,businesspartner,Question21
competency526,I,2,businesspartner,Question22
competency527,I,2,businesspartner,Question23
competency528,I,2,businesspartner,Question24
competency529,I,3,businesspartner,Question1
competency530,x,3,businesspartner,Question2
competency531,A,3,businesspartner,Question3
competency532,A,3,businesspartner,Question4
competency533,A,3,businesspartner,Question5
competency534,A,3,businesspartner,Question6
competency535,A,3,businesspartner,Question7
competency536,A,3,businesspartner,Question8
competency537,F,3,businesspartner,Question9
competency538,F,3,businesspartner,Question10
competency539,A,3,businesspartner,Question11
competency540,A,3,businesspartner,Question12
competency541,F,3,businesspartner,Question13
competency542,F,3,businesspartner,Question14
competency543,F,3,businesspartner,Question15
competency544,A,3,businesspartner,Question16
competency545,A,3,businesspartner,Question17
competency546,A,3,businesspartner,Question18
competency547,A,3,businesspartner,Question19
competency548,A,3,businesspartner,Question20
competency549,I,3,businesspartner,Question21
competency550,A,3,businesspartner,Question22
competency551,A,3,businesspartner,Question23
competency552,A,3,businesspartner,Question24
competency553,I,4,businesspartner,Question1
competency554,x,4,businesspartner,Question2
competency555,A,4,businesspartner,Question3
competency556,A,4,businesspartner,Question4
competency557,A,4,businesspartner,Question5
competency558,E,4,businesspartner,Question6
competency559,E,4,businesspartner,Question7
competency560,A,4,businesspartner,Question8
competency561,F,4,businesspartner,Question9
competency562,F,4,businesspartner,Question10
competency563,E,4,businesspartner,Question11
competency564,A,4,businesspartner,Question12
competency565,F,4,businesspartner,Question13
competency566,F,4,businesspartner,Question14
competency567,F,4,businesspartner,Question15
competency568,E,4,businesspartner,Question16
competency569,E,4,businesspartner,Question17
competency570,E,4,businesspartner,Question18
competency571,E,4,businesspartner,Question19
competency572,E,4,businesspartner,Question20
competency573,I,4,businesspartner,Question21
competency574,E,4,businesspartner,Question22
competency575,E,4,businesspartner,Question23
competency576,E,4,businesspartner,Question24
competency577,F,1,fpa,Question1
competency578,x,1,fpa,Question2
competency579,F,1,fpa,Question3
competency580,F,1,fpa,Question4
competency581,F,1,fpa,Question5
competency582,F,1,fpa,Question6
competency583,F,1,fpa,Question7
competency584,F,1,fpa,Question8
competency585,F,1,fpa,Question9
competency586,x,1,fpa,Question10
competency587,F,1,fpa,Question11
competency588,F,1,fpa,Question12
competency589,F,1,fpa,Question13
competency590,x,1,fpa,Question14
competency591,x,1,fpa,Question15
competency592,F,1,fpa,Question16
competency593,F,1,fpa,Question17
competency594,F,1,fpa,Question18
competency595,F,1,fpa,Question19
competency596,F,1,fpa,Question20
competency597,F,1,fpa,Question21
competency599,F,1,fpa,Question23
competency600,F,1,fpa,Question24
competency601,F,2,fpa,Question1
competency602,x,2,fpa,Question2
competency603,F,2,fpa,Question3
competency604,I,2,fpa,Question4
competency605,I,2,fpa,Question5
competency606,I,2,fpa,Question6
competency607,I,2,fpa,Question7
competency608,I,2,fpa,Question8
competency609,F,2,fpa,Question9
competency610,x,2,fpa,Question10
competency611,I,2,fpa,Question11
competency612,I,2,fpa,Question12
competency613,I,2,fpa,Question13
competency614,x,2,fpa,Question14
competency615,x,2,fpa,Question15
competency616,I,2,fpa,Question16
competency617,I,2,fpa,Question17
competency618,I,2,fpa,Question18
competency619,I,2,fpa,Question19
competency620,I,2,fpa,Question20
competency621,I,2,fpa,Question21
competency622,I,2,fpa,Question22
competency623,F,2,fpa,Question23
competency624,I,2,fpa,Question24
competency625,F,3,fpa,Question1
competency626,x,3,fpa,Question2
competency627,F,3,fpa,Question3
competency628,A,3,fpa,Question4
competency629,A,3,fpa,Question5
competency630,A,3,fpa,Question6
competency631,A,3,fpa,Question7
competency632,I,3,fpa,Question8
competency633,F,3,fpa,Question9
competency634,x,3,fpa,Question10
competency635,A,3,fpa,Question11
competency636,I,3,fpa,Question12
competency637,I,3,fpa,Question13
competency638,x,3,fpa,Question14
competency639,x,3,fpa,Question15
competency640,A,3,fpa,Question16
competency641,A,3,fpa,Question17
competency642,A,3,fpa,Question18
competency643,A,3,fpa,Question19
competency644,A,3,fpa,Question20
competency645,I,3,fpa,Question21
competency646,A,3,fpa,Question22
competency647,F,3,fpa,Question23
competency648,A,3,fpa,Question24
competency649,F,4,fpa,Question1
competency650,x,4,fpa,Question2
competency651,F,4,fpa,Question3
competency652,A,4,fpa,Question4
competency653,E,4,fpa,Question5
competency654,A,4,fpa,Question6
competency655,E,4,fpa,Question7
competency656,I,4,fpa,Question8
competency657,F,4,fpa,Question9
competency658,x,4,fpa,Question10
competency659,A,4,fpa,Question11
competency660,I,4,fpa,Question12
competency661,I,4,fpa,Question13
competency662,x,4,fpa,Question14
competency663,x,4,fpa,Question15
competency664,E,4,fpa,Question16
competency665,E,4,fpa,Question17
competency666,A,4,fpa,Question18
competency667,E,4,fpa,Question19
competency668,E,4,fpa,Question20
competency669,I,4,fpa,Question21
competency670,E,4,fpa,Question22
competency671,F,4,fpa,Question23
competency672,E,4,fpa,Question24
competency673,x,1,supplychainfinance,Question1
competency674,x,1,supplychainfinance,Question2
competency675,x,1,supplychainfinance,Question3
competency676,F,1,supplychainfinance,Question4
competency677,x,1,supplychainfinance,Question5
competency678,F,1,supplychainfinance,Question6
competency679,F,1,supplychainfinance,Question7
competency680,F,1,supplychainfinance,Question8
competency681,F,1,supplychainfinance,Question9
competency682,x,1,supplychainfinance,Question10
competency683,F,1,supplychainfinance,Question11
competency684,F,1,supplychainfinance,Question12
competency685,F,1,supplychainfinance,Question13
competency686,x,1,supplychainfinance,Question14
competency687,x,1,supplychainfinance,Question15
competency688,F,1,supplychainfinance,Question16
competency689,x,1,supplychainfinance,Question17
competency690,x,1,supplychainfinance,Question18
competency691,F,1,supplychainfinance,Question19
competency692,F,1,supplychainfinance,Question20
competency693,F,1,supplychainfinance,Question21
competency694,F,1,supplychainfinance,Question22
competency695,F,1,supplychainfinance,Question23
competency696,F,1,supplychainfinance,Question24
competency697,x,2,supplychainfinance,Question1
competency698,x,2,supplychainfinance,Question2
competency699,x,2,supplychainfinance,Question3
competency700,F,2,supplychainfinance,Question4
competency701,x,2,supplychainfinance,Question5
competency702,F,2,supplychainfinance,Question6
competency703,I,2,supplychainfinance,Question7
competency704,F,2,supplychainfinance,Question8
competency705,F,2,supplychainfinance,Question9
competency706,x,2,supplychainfinance,Question10
competency707,F,2,supplychainfinance,Question11
competency708,F,2,supplychainfinance,Question12
competency709,F,2,supplychainfinance,Question13
competency710,x,2,supplychainfinance,Question14
competency711,x,2,supplychainfinance,Question15
competency712,I,2,supplychainfinance,Question16
competency713,x,2,supplychainfinance,Question17
competency714,x,2,supplychainfinance,Question18
competency715,I,2,supplychainfinance,Question19
competency716,I,2,supplychainfinance,Question20
competency717,F,2,supplychainfinance,Question21
competency718,I,2,supplychainfinance,Question22
competency719,F,2,supplychainfinance,Question23
competency720,I,2,supplychainfinance,Question24
competency721,x,3,supplychainfinance,Question1
competency722,x,3,supplychainfinance,Question2
competency723,x,3,supplychainfinance,Question3
competency724,F,3,supplychainfinance,Question4
competency725,x,3,supplychainfinance,Question5
competency1324,F,4,accounting,Question4
competency726,F,3,supplychainfinance,Question6
competency727,I,3,supplychainfinance,Question7
competency728,F,3,supplychainfinance,Question8
competency729,F,3,supplychainfinance,Question9
competency730,x,3,supplychainfinance,Question10
competency731,F,3,supplychainfinance,Question11
competency732,F,3,supplychainfinance,Question12
competency733,F,3,supplychainfinance,Question13
competency734,x,3,supplychainfinance,Question14
competency735,x,3,supplychainfinance,Question15
competency736,A,3,supplychainfinance,Question16
competency737,x,3,supplychainfinance,Question17
competency738,x,3,supplychainfinance,Question18
competency739,A,3,supplychainfinance,Question19
competency740,I,3,supplychainfinance,Question20
competency741,F,3,supplychainfinance,Question21
competency742,A,3,supplychainfinance,Question22
competency743,F,3,supplychainfinance,Question23
